2021-01-05 09:16:05 status half-installed libopenexr22:amd64 2.2.0-11.1ubuntu1.3
2021-01-05 09:16:05 status half-installed libopenexr22:amd64 2.2.0-11.1ubuntu1.3
2021-01-05 09:16:05 status unpacked libopenexr22:amd64 2.2.0-11.1ubuntu1.4
2021-01-05 09:16:05 status unpacked libopenexr22:amd64 2.2.0-11.1ubuntu1.4
2021-01-05 09:16:05 startup packages configure
2021-01-05 09:16:05 configure libopenexr22:amd64 2.2.0-11.1ubuntu1.4 <none>
2021-01-05 09:16:05 status unpacked libopenexr22:amd64 2.2.0-11.1ubuntu1.4
2021-01-05 09:16:05 status half-configured libopenexr22:amd64 2.2.0-11.1ubuntu1.4
2021-01-05 09:16:05 status installed libopenexr22:amd64 2.2.0-11.1ubuntu1.4
2021-01-05 09:16:05 trigproc libc-bin:amd64 2.27-3ubuntu1.3 <none>
2021-01-05 09:16:05 status half-configured libc-bin:amd64 2.27-3ubuntu1.3
2021-01-05 09:16:05 status installed libc-bin:amd64 2.27-3ubuntu1.3
2021-01-05 09:16:08 startup archives unpack
2021-01-05 09:16:09 upgrade linux-libc-dev:amd64 4.15.0-128.131 4.15.0-129.132
2021-01-05 09:16:09 status half-configured linux-libc-dev:amd64 4.15.0-128.131
2021-01-05 09:16:09 status unpacked linux-libc-dev:amd64 4.15.0-128.131
2021-01-05 09:16:09 status half-installed linux-libc-dev:amd64 4.15.0-128.131
2021-01-05 09:16:09 status half-installed linux-libc-dev:amd64 4.15.0-128.131
2021-01-05 09:16:09 status unpacked linux-libc-dev:amd64 4.15.0-129.132
2021-01-05 09:16:09 status unpacked linux-libc-dev:amd64 4.15.0-129.132
2021-01-05 09:16:09 startup packages configure
2021-01-05 09:16:09 configure linux-libc-dev:amd64 4.15.0-129.132 <none>
2021-01-05 09:16:09 status unpacked linux-libc-dev:amd64 4.15.0-129.132
2021-01-05 09:16:09 status half-configured linux-libc-dev:amd64 4.15.0-129.132
2021-01-05 09:16:09 status installed linux-libc-dev:amd64 4.15.0-129.132
2021-01-05 09:16:12 startup archives unpack
2021-01-05 09:16:13 install linux-modules-5.4.0-59-generic:amd64 <none> 5.4.0-59.65~18.04.1
2021-01-05 09:16:13 status half-installed linux-modules-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:14 status unpacked linux-modules-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:14 status unpacked linux-modules-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:14 install linux-image-5.4.0-59-generic:amd64 <none> 5.4.0-59.65~18.04.1
2021-01-05 09:16:14 status half-installed linux-image-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:14 status unpacked linux-image-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:14 status unpacked linux-image-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:14 install linux-modules-extra-5.4.0-59-generic:amd64 <none> 5.4.0-59.65~18.04.1
2021-01-05 09:16:14 status half-installed linux-modules-extra-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:22 status unpacked linux-modules-extra-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:22 status unpacked linux-modules-extra-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:22 upgrade linux-generic-hwe-18.04:amd64 5.4.0.58.64~18.04.53 5.4.0.59.65~18.04.54
2021-01-05 09:16:22 status half-configured linux-generic-hwe-18.04:amd64 5.4.0.58.64~18.04.53
2021-01-05 09:16:22 status unpacked linux-generic-hwe-18.04:amd64 5.4.0.58.64~18.04.53
2021-01-05 09:16:22 status half-installed linux-generic-hwe-18.04:amd64 5.4.0.58.64~18.04.53
2021-01-05 09:16:22 status half-installed linux-generic-hwe-18.04:amd64 5.4.0.58.64~18.04.53
2021-01-05 09:16:22 status unpacked linux-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54
2021-01-05 09:16:22 status unpacked linux-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54
2021-01-05 09:16:22 upgrade linux-image-generic-hwe-18.04:amd64 5.4.0.58.64~18.04.53 5.4.0.59.65~18.04.54
2021-01-05 09:16:22 status half-configured linux-image-generic-hwe-18.04:amd64 5.4.0.58.64~18.04.53
2021-01-05 09:16:22 status unpacked linux-image-generic-hwe-18.04:amd64 5.4.0.58.64~18.04.53
2021-01-05 09:16:22 status half-installed linux-image-generic-hwe-18.04:amd64 5.4.0.58.64~18.04.53
2021-01-05 09:16:22 status half-installed linux-image-generic-hwe-18.04:amd64 5.4.0.58.64~18.04.53
2021-01-05 09:16:22 status unpacked linux-image-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54
2021-01-05 09:16:22 status unpacked linux-image-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54
2021-01-05 09:16:23 install linux-hwe-5.4-headers-5.4.0-59:all <none> 5.4.0-59.65~18.04.1
2021-01-05 09:16:23 status half-installed linux-hwe-5.4-headers-5.4.0-59:all 5.4.0-59.65~18.04.1
2021-01-05 09:16:26 status unpacked linux-hwe-5.4-headers-5.4.0-59:all 5.4.0-59.65~18.04.1
2021-01-05 09:16:26 status unpacked linux-hwe-5.4-headers-5.4.0-59:all 5.4.0-59.65~18.04.1
2021-01-05 09:16:26 install linux-headers-5.4.0-59-generic:amd64 <none> 5.4.0-59.65~18.04.1
2021-01-05 09:16:26 status half-installed linux-headers-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:29 status unpacked linux-headers-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:29 status unpacked linux-headers-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:29 upgrade linux-headers-generic-hwe-18.04:amd64 5.4.0.58.64~18.04.53 5.4.0.59.65~18.04.54
2021-01-05 09:16:29 status half-configured linux-headers-generic-hwe-18.04:amd64 5.4.0.58.64~18.04.53
2021-01-05 09:16:29 status unpacked linux-headers-generic-hwe-18.04:amd64 5.4.0.58.64~18.04.53
2021-01-05 09:16:29 status half-installed linux-headers-generic-hwe-18.04:amd64 5.4.0.58.64~18.04.53
2021-01-05 09:16:29 status half-installed linux-headers-generic-hwe-18.04:amd64 5.4.0.58.64~18.04.53
2021-01-05 09:16:29 status unpacked linux-headers-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54
2021-01-05 09:16:29 status unpacked linux-headers-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54
2021-01-05 09:16:29 startup packages configure
2021-01-05 09:16:29 configure linux-modules-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1 <none>
2021-01-05 09:16:29 status unpacked linux-modules-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:29 status half-configured linux-modules-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:30 status installed linux-modules-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:30 configure linux-hwe-5.4-headers-5.4.0-59:all 5.4.0-59.65~18.04.1 <none>
2021-01-05 09:16:30 status unpacked linux-hwe-5.4-headers-5.4.0-59:all 5.4.0-59.65~18.04.1
2021-01-05 09:16:30 status half-configured linux-hwe-5.4-headers-5.4.0-59:all 5.4.0-59.65~18.04.1
2021-01-05 09:16:30 status installed linux-hwe-5.4-headers-5.4.0-59:all 5.4.0-59.65~18.04.1
2021-01-05 09:16:30 configure linux-image-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1 <none>
2021-01-05 09:16:30 status unpacked linux-image-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:30 status half-configured linux-image-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:31 status installed linux-image-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:31 status triggers-pending linux-image-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:31 configure linux-headers-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1 <none>
2021-01-05 09:16:31 status unpacked linux-headers-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:31 status half-configured linux-headers-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:40 status installed linux-headers-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:40 configure linux-modules-extra-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1 <none>
2021-01-05 09:16:40 status unpacked linux-modules-extra-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:40 status half-configured linux-modules-extra-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:40 status installed linux-modules-extra-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:40 configure linux-image-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54 <none>
2021-01-05 09:16:40 status unpacked linux-image-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54
2021-01-05 09:16:40 status half-configured linux-image-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54
2021-01-05 09:16:40 status installed linux-image-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54
2021-01-05 09:16:40 configure linux-headers-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54 <none>
2021-01-05 09:16:40 status unpacked linux-headers-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54
2021-01-05 09:16:40 status half-configured linux-headers-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54
2021-01-05 09:16:40 status installed linux-headers-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54
2021-01-05 09:16:40 configure linux-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54 <none>
2021-01-05 09:16:40 status unpacked linux-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54
2021-01-05 09:16:40 status half-configured linux-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54
2021-01-05 09:16:40 status installed linux-generic-hwe-18.04:amd64 5.4.0.59.65~18.04.54
2021-01-05 09:16:40 trigproc linux-image-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1 <none>
